--------------------------------------------------
Data   Type:		0
Resp.  Stat:		0
Sequence No:		1
Packet Data:
large.txt


CRC result: 1721, 1721

CRC result: 666d, 666d

CRC result: decc, decc

CRC result: ff41, ff41

CRC result: 40b9, 40b9

CRC result: 591b, 591b

CRC result: efee, efee

CRC result: f2b9, f2b9

CRC result: 8ee0, 8ee0

CRC result: 110b, 110b

CRC result: e6fe, e6fe

CRC result: f06e, f06e

CRC result: 411, 411

CRC result: 54a1, 54a1

CRC result: 94e1, 94e1

CRC result: a82a, a82a

CRC result: c45b, c45b

CRC result: 12db, 12db

CRC result: 3654, 3654

CRC result: e3f2, e3f2

CRC result: 8e99, 8e99

CRC result: 1714, 1714

CRC result: e6d7, e6d7

